sample	tit1	tit2
1	76.35	76.35
1	76.2	76.25
1	76.4	76.2
1	76.5	76.45
1	76.5	76.25
1	76.35	76.5
1	76.8	76.75
1	76.55	76.6
1	76.35	76.35
1	76.6	76.55
1	76.7	76.85
1	76.15	76.05
1	76.3	76.5
1	76.25	76.15
1	76.85	76.75
1	76.4	76.3
1	76.4	76.35
1	76.3	76.3
1	76.6	76.8
1	76.6	76.8
1	76.3	76.4
1	76.35	76.35
1	76.45	76.55
1	76.5	76.4
1	76.75	76.95
1	76.7	76.35
1	76.6	76.75
1	76.6	76.55
1	76.2	76.4
1	76.35	76.35
1	76.6	76.9
1	76.4	76.45
1	76.2	76.25
1	76.55	76.5
1	76.2	76.2
1	76.5	76.5
1	76.35	76.5
1	76.6	76.55
1	76.4	76.5
1	76.5	76.35
