day	machine	log_permeability
1	1	1.459
1	1	1.41
1	1	1.723
1	2	1.431
1	2	1.572
1	2	1.595
1	3	1.569
1	3	1.465
1	3	1.459
2	1	1.487
2	1	1.384
2	1	1.476
2	2	1.528
2	2	1.357
2	2	1.649
2	3	1.676
2	3	1.524
2	3	1.696
3	1	1.727
3	1	1.523
3	1	1.461
3	2	1.51
3	2	1.559
3	2	1.616
3	3	1.72
3	3	1.597
3	3	1.453
4	1	1.72
4	1	1.613
4	1	1.637
4	2	1.52
4	2	1.464
4	2	1.542
4	3	1.475
4	3	1.336
4	3	1.465
5	1	1.669
5	1	1.396
5	1	1.443
5	2	1.648
5	2	1.483
5	2	1.529
5	3	1.558
5	3	1.551
5	3	1.454
6	1	1.622
6	1	1.491
6	1	1.606
6	2	1.56
6	2	1.517
6	2	1.597
6	3	1.632
6	3	1.606
6	3	1.472
7	1	1.755
7	1	1.41
7	1	1.46
7	2	1.763
7	2	1.551
7	2	1.698
7	3	1.863
7	3	1.517
7	3	1.491
8	1	1.725
8	1	1.594
8	1	1.647
8	2	1.699
8	2	1.617
8	2	1.928
8	3	1.826
8	3	1.446
8	3	1.703
9	1	1.579
9	1	1.627
9	1	1.66
9	2	1.524
9	2	1.344
9	2	1.495
9	3	1.664
9	3	1.504
9	3	1.731
