"Poison" "Treatment" "Time" "invTime"
"1" "low" "A" 0.31 3.2258064516129
"2" "low" "A" 0.45 2.22222222222222
"3" "low" "A" 0.46 2.17391304347826
"4" "low" "A" 0.43 2.32558139534884
"5" "low" "B" 0.82 1.21951219512195
"6" "low" "B" 1.1 0.909090909090909
"7" "low" "B" 0.88 1.13636363636364
"8" "low" "B" 0.72 1.38888888888889
"9" "low" "C" 0.43 2.32558139534884
"10" "low" "C" 0.45 2.22222222222222
"11" "low" "C" 0.63 1.58730158730159
"12" "low" "C" 0.76 1.31578947368421
"13" "low" "D" 0.45 2.22222222222222
"14" "low" "D" 0.71 1.40845070422535
"15" "low" "D" 0.66 1.51515151515152
"16" "low" "D" 0.62 1.61290322580645
"17" "medium" "A" 0.36 2.77777777777778
"18" "medium" "A" 0.29 3.44827586206897
"19" "medium" "A" 0.4 2.5
"20" "medium" "A" 0.23 4.34782608695652
"21" "medium" "B" 0.92 1.08695652173913
"22" "medium" "B" 0.61 1.63934426229508
"23" "medium" "B" 0.49 2.04081632653061
"24" "medium" "B" 1.24 0.806451612903226
"25" "medium" "C" 0.44 2.27272727272727
"26" "medium" "C" 0.35 2.85714285714286
"27" "medium" "C" 0.31 3.2258064516129
"28" "medium" "C" 0.4 2.5
"29" "medium" "D" 0.56 1.78571428571429
"30" "medium" "D" 1.02 0.980392156862745
"31" "medium" "D" 0.71 1.40845070422535
"32" "medium" "D" 0.38 2.63157894736842
"33" "high" "A" 0.22 4.54545454545455
"34" "high" "A" 0.21 4.76190476190476
"35" "high" "A" 0.18 5.55555555555556
"36" "high" "A" 0.23 4.34782608695652
"37" "high" "B" 0.3 3.33333333333333
"38" "high" "B" 0.37 2.7027027027027
"39" "high" "B" 0.38 2.63157894736842
"40" "high" "B" 0.29 3.44827586206897
"41" "high" "C" 0.23 4.34782608695652
"42" "high" "C" 0.25 4
"43" "high" "C" 0.24 4.16666666666667
"44" "high" "C" 0.22 4.54545454545455
"45" "high" "D" 0.3 3.33333333333333
"46" "high" "D" 0.36 2.77777777777778
"47" "high" "D" 0.31 3.2258064516129
"48" "high" "D" 0.33 3.03030303030303
